Created at,Title,Author(s),Publisher,Genre,Year Published,First Published,ISBN,Series,Volume
"09.11.2025","Im Westen nichts Neues","Erich Maria Remarque","Verlag Kiepenheuer &amp; Witsch","","1985",,"3-7632-3081-5",,
"09.11.2025","Die göttliche Komödie","Dante Alighieri","Weltbild","","2005",,"3-8289-7925-4",,
"09.11.2025","Die Drei Musketiere","Alexander Dumas","Uhlenhorst-Verlag","","1929",,,,
"09.11.2025","Nachtasyl","Maxim Gorky","Dr. J. Marchlewski &amp; Co.","","1903",,,,
"09.11.2025","Das Kapital","Karl Marx","Anaconda Verlag","","2009",,"978-3-86647-325-6",,
"09.11.2025","Deutsche Meistererzählungen des 19. Jahrhunderts I","Johann Wolfgang von Goethe; Heinrich von Kleist; Joseph Freiherr von Eichendorf; Jeremias Gotthelf; Franz Grillparzer; Gottfried Keller","Neues Leben","","1966",,,,
"09.11.2025","Deutsche Meistererzählungen des 19. Jahrhunderts II","Otto Ludowig; Eduard Mörike; Theodor Storm","Neues Leben","","1966",,,,
"09.11.2025","Heines Werke, Erster Band (Gedichte)","Heinrich Heine","Aufbau-Verlag","","1976",,,"Heines Werke in fünf Bänden","1"
"09.11.2025","Heines Werke, Zweiter Band","Heinrich Heine","Aufbau-Verlag","","1976",,,"Heines Werke in fünf Bänden","2"
"09.11.2025","Heines Werke, Dritter Band","Heinrich Heine","Aufbau-Verlag","","1976",,,"Heines Werke in fünf Bänden","3"
"09.11.2025","Heines Werke, Vierter Band","Heinrich Heine","Aufbau-Verlag","","1976",,,"Heines Werke in fünf Bänden","4"
"09.11.2025","Heines Werke, Fünfter Band","Heinrich Heine","Aufbau-Verlag","","1976",,,"Heines Werke in fünf Bänden","5"
"09.11.2025","Goethes Werke, Band 1-2","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","1"
"09.11.2025","Goethes Werke, Band 3-4","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","2"
"09.11.2025","Goethes Werke, Band 5-6","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","3"
"09.11.2025","Goethes Werke, Band 7-8","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","4"
"09.11.2025","Goethes Werke, Band 9-10","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","5"
"09.11.2025","Goethes Werke, Band 11-12","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","6"
"09.11.2025","Goethes Werke, Band 13-14","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","7"
"09.11.2025","Goethes Werke, Band 15-16","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","8"
"09.11.2025","Goethes Werke, Band 17-18","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","9"
"09.11.2025","Goethes Werke, Band 19-20","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","10"
"09.11.2025","Goethes Werke, Band 21-22","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","11"
"09.11.2025","Goethes Werke, Band 23-24","Johann Wolfgang von Goethe","Standard-Verlag","",,,,"Goethes Werke Standard-Klassiker-Ausgabe in zwölf Doppelbänden","12"
"09.11.2025","Schillers Werke, Band 1 (Gedichte)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","1"
"09.11.2025","Schillers Werke, Band 2 (Jugenddramen 1)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","2"
"09.11.2025","Schillers Werke, Band 3 (Jugenddramen 2)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","3"
"09.11.2025","Schillers Werke, Band 4 (Klassische Dramen 1)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","4"
"09.11.2025","Schillers Werke, Band 5 (Klassische Dramen 2)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","5"
"09.11.2025","Schillers Werke, Band 6 (Klassische Dramen 3)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","6"
"09.11.2025","Schillers Werke, Band 7 (Historische Schriften 1)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","7"
"09.11.2025","Schillers Werke, Band 8 (Historische Schriften 2)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","8"
"09.11.2025","Schillers Werke, Band 9 (Philosoph. Scriften)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","9"
"09.11.2025","Schillers Werke, Band 10 (Lebensdokumente)","Friedrich Schiller","Standard-Verlag","",,,,"Schillers Werke Standard-Klassiker-Ausgabe in zehn Bänden","10"
"09.11.2025","Theodor Storm: Sämtliche Werke, Band 1; Gedichte, Märchen und Spukgeschichten, Novellen","Theodor Storm","Aufbau-Verlag","","1972",,,"Theodor Storm: Sämtliche Werke in vier Bänden","1"
"09.11.2025","Theodor Storm: Sämtliche Werke, Band 2; Novellen","Theodor Storm","Aufbau-Verlag","","1972",,,"Theodor Storm: Sämtliche Werke in vier Bänden","2"
"09.11.2025","Theodor Storm: Sämtliche Werke, Band 3; Novellen","Theodor Storm","Aufbau-Verlag","","1972",,,"Theodor Storm: Sämtliche Werke in vier Bänden","3"
"09.11.2025","Theodor Storm: Sämtliche Werke, Band 4; Novellen, Kleine Prosa","Theodor Storm","Aufbau-Verlag","","1972",,,"Theodor Storm: Sämtliche Werke in vier Bänden","4"
"09.11.2025","Der Schimmelreiter und andere Novellen","Theodor Storm","Verlag Otto Janke","","1937",,,,
"09.11.2025","Das Frühwerk","Albert Camus","Karl Rauch Verlag","","1967",,,,
"09.11.2025","Das Tagebuch der Anne Frank","Anne Frank; Anneliese Schütz","Bertelsmann","","1985",,,,
"09.11.2025","Narrheiten und Wahrheiten","Wilhelm Busch","Büchergilde Gutenberg","","1959",,,,
"09.11.2025","Späße und Weisheiten","Wilhelm Busch","Büchergilde Gutenberg","","1959",,,,
"09.11.2025","Die Mär von Ulenspiegel und Lamme Goedzak und ihren heroischen, ergötzlichen und rühmlichen Abenteuern in Flandern und anderen Landen","Charles De Coster","Deutsche Buch-Gemeinschaft","","1956",,,,
"09.11.2025","Götter Gräber und Gelehrte","C.W. Ceram","Deutsche Buch-Gemeinschaft","",,"1949",,,
"09.11.2025","Lexikon der Götter und Dämonen","Manfred Lurker","Alfred Kröner Verlag","","1989",,"3-520-46302-4",,
"09.11.2025","Deutsche Götter- und Heldensagen","Dr. J. H. Albers","R. Voigtländers Verlag ","",,,,,
"09.11.2025","Holy Bible (King James)","","National Publishing Company","","1978",,"978-0-8340-0346-0",,
"09.11.2025","Die Bibel","","Herder","",,,"3-451-28000-0",,
"09.11.2025","Tausend und eine Nacht Band 1 &amp; 2","Dr. Gustav Weil","Karl Müller Verlag","","1996",,"3-86070-308-0",,
"09.11.2025","Tausend und eine Nacht Band 2 &amp; 3","Dr. Gustav Weil","Karl Müller Verlag","","1996",,"3-86070-308-0",,
"09.11.2025","Odyssee","Homer","Anaconda Verlag","","2010",,"978-3-86647-536-6",,
"09.11.2025","Kinder- und Hausmärchen","Brüder Grimm","Wissenschaftliche Buchgeselschaft Darmstadt","","1977",,,,
"09.11.2025","Märchen","Hans Christian Andersen","Droemer Knaur","","1967",,,,
"09.11.2025","The Epic of Gilgamesh","Andrew George","Penguin Books","","2000",,"0-14-044721-0",,
"09.11.2025","From Distant Days: Myths, Tales, and Poetry of Ancient Mesopotamia","Benjamin R. Foster","CDL Press","","1995",,"978-1-883053-09-9",,
"09.11.2025","Litauische Volksmärchen","Bronislava Kerbelyte","Akademie-Verlag Berlin","","1978",,,,
"09.11.2025","Russische Volksmärchen","Erna Pomeranzewa","Akademie-Verlag Berlin","","1974",,,,
"09.11.2025","Lettische Volksmärchen","Ojars Ambainis","Akademie-Verlag Berlin","","1977",,,,
"09.11.2025","Tschechische Volksmärchen","Jaromir Jech","Akademie-Verlag Berlin","","1984",,,,
"09.11.2025","Belorussische Volksmärchen","L.G. Barag","Akademie-Verlag Berlin","","1976",,,,
"09.11.2025","Ungarische Volksmärchen","Prof. Dr. Gyula Ortutay","Akademie-Verlag Berlin","","1980",,,,
"09.11.2025","Von der Antike bis zum Mittelalter","Edmond Rochedieu","Edito-Service","","1972",,,"Die Großen Religionen der Welt","1"
"09.11.2025","Der Buddhismus","Richard A. Gard","Edito-Service","","1972",,,"Die Großen Religionen der Welt","2"
"09.11.2025","Der Hinduismus","Louis Renou","Edito-Service","","1972",,,"Die Großen Religionen der Welt","3"
"09.11.2025","Der Islam","John Alden Williams","Edito-Service","","1973",,,"Die Großen Religionen der Welt","4"
"09.11.2025","Der Judaismus","Arthur Hertzberg","Edito-Service","","1973",,,"Die Großen Religionen der Welt","5"
"09.11.2025","Der Katholizismus","George Brantl","Edito-Service","","1973",,,"Die Großen Religionen der Welt","6"
"09.11.2025","Der Protestantismus","J. Leslie Dunstan","Edito-Service","","1973",,,"Die Großen Religionen der Welt","7"
"09.11.2025","Der Konfuzianismus","Albert Cavin","Edito-Service","","1973",,,"Die Großen Religionen der Welt","8"
"09.11.2025","Der Schintoismus","Edmond Rochedieu","Edito-Service","","1973",,,"Die Großen Religionen der Welt","9"
"09.11.2025","Die Orthodoxe Kirche","Bernard Sartorius","Edito-Service","","1973",,,"Die Großen Religionen der Welt","10"
"09.11.2025","Katechismus der Mineralogie","Dr. Eugen Hussak","J. J. Weber","","1901",,,,
"09.11.2025","Das Schachspiel","Dr. Tarrasch","Deutsche Buch-Gemeinschaft","","1931",,,,
"09.11.2025","Der Mensch (Band 1)","Prof. Dr. Johannes Ranke","Biblographisches Institut Leipzig","","1894",,,,
"09.11.2025","Der Mensch (Band 2)","Prof. Dr. Johannes Ranke","Biblographisches Institut Leipzig","","1894",,,,
"09.11.2025","Brehms Tierleben","Dr. Rudolf Barth","Zimmer &amp; Herzog","","1954",,,,
"09.11.2025","Naturheilkunde von A-Z","Helmut Löffler","Manfred Pawlak Verlagsgesellschaft","","1980",,,,
"09.11.2025","Geschichte der Stadt Koblenz (Band 1)","Energieversorgung Mittelrhein GmbH (Hrsg.)","Konrad Theiss Verlag","","1992",,"3-8062-0876-x",,
"09.11.2025","Geschichte der Stadt Koblenz (Band 2)","Energieversorgung Mittelrhein GmbH (Hrsg.)","Konrad Theiss Verlag","","1993",,"3-8062-1036-5",,
"09.11.2025","Ägypten","Emil Nack","Verlag Carl Ueberreuter","","1962",,,,
"09.11.2025","Hellas","Emil Nack; Wilhelm Wägner","Verlag Carl Ueberreuter","","1966",,,,
"09.11.2025","Rom","Emil Nack; Wilhelm Wägner","Verlag Carl Ueberreuter","","1966",,,,
"09.11.2025","Germanien","Emil Nack","Verlag Carl Ueberreuter","","1958",,,,
"09.11.2025","Die Galeonen","Peter Kirsch","Bernard &amp; Graefe Verlag","","1988",,"3-7637-5470-9",,
"09.11.2025","Die Tracht der Kulturvölker Europas","A. von Heyden","Reprint Verlag Leipzig","",,,"3-8262-0800-5",,
"09.11.2025","Meilensteine der Geschichte, vom Pharaonenstaat zur Mondlandung","S. George Frederick Brandon; Friedrich Heer; Neville Williams; Christopher Hibbert; Alan Palmer; Hugh ThomasHrsg.",,"",,,,,
"09.11.2025","Leitfaden der Kunstgeschichte","Dr. Ernst Wickenhagen","Paul Neff Verlag","","1922",,,,
"09.11.2025","The C++ Programming Language (Fourth Edition)","Bjarne Stroustrup","Addison-Wesley","","2014",,"978-0-321-56384-2",,
"09.11.2025","Programming Principles and Practice Using C++ (Second Edition)","Bjarne Stroustrup","Addison-Wesley","","2014",,"978-0-321-99278-9",,
"09.11.2025","Game Coding Complete (Fourth Edition)","Mike Shaffry; David Graham","Course Technology PTR","","2013",,"978-1-133-77657-4",,
"09.11.2025","Game Programming Patterns","Robert Nystrom","Genever Benning","","2014",,"978-0-9905829-0-8",,
"09.11.2025","OpenGL Programming Guide (Eighth Edition)","Dave Shreiner; Graham Sellers; John Kessenich; Bill Licea-Kane","Addison-Wesley","","2015",,"978-0-321-77303-6",,
"09.11.2025","The Black Art of Multiplatform Game Programming","Jazon Yamamoto","Cengage Learning PTR","","2015",,"978-1-305-11038-0",,
"09.11.2025","Code ","Charles Petzold","Microsoft Press","","2015",,"978-0-7356-1131-3",,
"09.11.2025","Hacker’s Delight (Second Edition)","Henry S. Warren, Jr.","Addison-Wesley","","2013",,"978-0-321-84268-8",,
"09.11.2025","Writing an Interpreter in Go (Version 1.3)","Thorsten Ball","Amazon","","2017",,"978-3000558085",,
"09.11.2025","Writing a Compiler in Go (Version 1.2)","Thorsten Ball","Amazon","","2019",,"978-3982016108",,
"09.11.2025","Data-Oriented Design","Richard Fabian","Amazon","","2018",,"978-1-9164787-0-1",,
"09.11.2025","Hypermedia Systems","Carson Gross; Adam Stepinski; Deniz Aksimsek","Amazon","","2023",,"979-8394025143",,
"09.11.2025","The Art of Computer Programming: Volume 1 – Fundamental Algorithms (Third Edition)","Donald E. Knuth","Addison-Wesley","","2013",,"978-0-201-89683-1",,
"09.11.2025","The Art of Computer Programming: Volume 2 – Seminumerical Algorithms (Third Edition)","Donald E. Knuth","Addison-Wesley","","2013",,"978-0-201-89684-8",,
"09.11.2025","The Art of Computer Programming: Volume 3 – Sorting and Searching (Second Edition)","Donald E. Knuth","Addison-Wesley","","2013",,"978-0-201-89685-5",,
"09.11.2025","The Art of Computer Programming: Volume 4A – Combinatorial Algorithms, Part 1","Donald E. Knuth","Addison-Wesley","","2013",,"978-0-201-03804-0",,
"09.11.2025","Deep Learning","Ian Goodfellow; Yoshua Bengio; Aaron Courville","Selbst gebunden","",,,,,
"09.11.2025","Make your own Neural Network","Tariq Rashid","Amazon","",,,"978-1530826605",,
"09.11.2025","Datenbanken &amp; SQL für Einsteiger","Marco Emrich","Amazon","","2013",,"978-1492951049",,
"09.11.2025","HTML &amp; CSS","Jon Duckett","Wiley","","2011",,"978-1-118-00818-8",,
"09.11.2025","Javascript &amp; jQuery","Jon Duckett","Wiley","","2014",,"978-1-118-53164-8",,
"09.11.2025","KI 2024: Advances in Artificial Intelligence ","Editors: Andreas Hotho; Sebastian Rudolph","Springer Nature","","2024",,"978-3-031-70892-3","Lecture Notes in Computer Science",
"09.11.2025","How Computers Work (Tenth Edition)","Ron White","Que Publishing","","2015",,"978-0-7897-4984-0",,
"09.11.2025","Heimcomputer-Bastelkiste","Gerhard A. Karl","Falken Verlag","","1986",,"3-8068-4309-0",,
"09.11.2025","Computer-Netzwerke (2., aktualisierte und erweiterte Auflage)","Harald Zisler","Galileo Press","","2013",,"978-3-8362-2007-1",,
"09.11.2025","Repetitorium der Dynamik 1. Teil: Dynamik des Massenpunktes","R. Demmig","R. Demmig’s Verlag","","1941",,,,
"09.11.2025","Repetitorium der Dynamik 2. Teil: Dynamik des Massenkörpers","R. Demmig","R. Demmig’s Verlag","","1941",,,,
"09.11.2025","Repetitorium der Mechanik 1. Teil: Statik starrer Körper","R. Demmig","R. Demmig’s Verlag","","1941",,,,
"09.11.2025","Repetitorium der Mechanik 2. Teil: Festigkeitslehre","R. Demmig","R. Demmig’s Verlag","","1931",,,,
"09.11.2025","Vierstellige Tafeln der Kreis- und Hyperbelfunktionen, sowie ihrer Umkehrfunktionen im Komplexen","Robert Hawelka",,"","1931",,,,
"09.11.2025","Lehrbuch der höheren Mathematik I: Vektorrechnung und analytische Geometrie","Prof. Dr. Gerhard Kowalewski","Walter de Gruyter &amp; Co.","","1933",,,,
"09.11.2025","Lehrbuch der höheren Mathematik II: Hauptpunkte der analytischen Geometrie des Raumes Grundbegriffe der Differential- und Integralrechnung","Prof. Dr. Gerhard Kowalewski","Walter de Gruyter &amp; Co.","","1933",,,,
"09.11.2025","Lehrbuch der höheren Mathematik III: Fortsetzung der Differential- und Integralrechnung. Differentialgleichungen. Differentialgeometrie. Funktionen einer komplexen Veränderlichen. Probleme der Variationsrechnung","Prof. Dr. Gerhard Kowalewski","Walter de Gruyter &amp; Co.","","1933",,,,
"09.11.2025","Höhere Mathematik für den Praktiker","H. A. Lorentz; Prof. Dr. G. Joos; Prof. Dr. Th. Kaluza","Johann Ambrosius Barth","","1938",,,,
"09.11.2025","Theorie und Anwendung der Funktionen einer komplexen Veränderlichen","Josef Heinhold","Leibniz Verlag","","1949",,,,
"09.11.2025","Höhere Mathematik II: Lineare Algebra, analytische Geometrie und Grundbegriffe der Differentialgeometrie","Prof. Dr. Claus Müller","Kommisionsverlag Augustinus-Buchhandlung","","1969",,,,
"09.11.2025","Höhere Mathematik III Teil A: Differentialgleichungen","Prof. Dr. Claus Müller","Kommisionsverlag Augustinus-Buchhandlung","","1969",,,,
"09.11.2025","Höhere Mathematik III Teil B: Zweidimensionale Vektoranalysis","Prof. Dr. Claus Müller","Kommisionsverlag Augustinus-Buchhandlung","","1971",,,,
"09.11.2025","Höhere Mathematik IV: Elemente der Funktionentheorie, Konforme Abbildungen, Partielle Differentialgleichungen","Prof. Dr. Claus Müller","Kommisionsverlag Augustinus-Buchhandlung","","1968",,,,
"09.11.2025","Formeln und Sätze zur Höheren Mathematik Teil II","Prof. Dr. Claus Müller","Kommisionsverlag Augustinus-Buchhandlung","","1971",,,,
"09.11.2025","Fachkunde für Maschinenschlosser und die verwandten Berufe","Paul Voigt; Dr.-Ing. August Linek","Fachbuchverlag","","1953",,,,
"09.11.2025","One Piece Band 1","Eiichiro Oda",,"",,,,"One Piece","1"
"09.11.2025","One Piece Band 2","Eiichiro Oda",,"",,,,"One Piece","2"
"09.11.2025","One Piece Band 3","Eiichiro Oda",,"",,,,"One Piece","3"
"09.11.2025","One Piece Band 4","Eiichiro Oda",,"",,,,"One Piece","4"
"09.11.2025","One Piece Band 5","Eiichiro Oda",,"",,,,"One Piece","5"
"09.11.2025","One Piece Band 6","Eiichiro Oda",,"",,,,"One Piece","6"
"09.11.2025","One Piece Band 7","Eiichiro Oda",,"",,,,"One Piece","7"
"09.11.2025","One Piece Band 8","Eiichiro Oda",,"",,,,"One Piece","8"
"09.11.2025","One Piece Band 9","Eiichiro Oda",,"",,,,"One Piece","9"
"09.11.2025","One Piece Band 10","Eiichiro Oda",,"",,,,"One Piece","10"
"09.11.2025","One Piece Band 11","Eiichiro Oda",,"",,,,"One Piece","11"
"09.11.2025","One Piece Band 12","Eiichiro Oda",,"",,,,"One Piece","12"
"09.11.2025","One Piece Band 13","Eiichiro Oda",,"",,,,"One Piece","13"
"09.11.2025","One Piece Band 14","Eiichiro Oda",,"",,,,"One Piece","14"
"09.11.2025","One Piece Band 15","Eiichiro Oda",,"",,,,"One Piece","15"
"09.11.2025","One Piece Band 16","Eiichiro Oda",,"",,,,"One Piece","16"
"09.11.2025","One Piece Band 17","Eiichiro Oda",,"",,,,"One Piece","17"
"09.11.2025","One Piece Band 18","Eiichiro Oda",,"",,,,"One Piece","18"
"09.11.2025","One Piece Band 19","Eiichiro Oda",,"",,,,"One Piece","19"
"09.11.2025","One Piece Band 20","Eiichiro Oda",,"",,,,"One Piece","20"
"09.11.2025","One Piece Band 21","Eiichiro Oda",,"",,,,"One Piece","21"
"09.11.2025","One Piece Band 22","Eiichiro Oda",,"",,,,"One Piece","22"
"09.11.2025","One Piece Band 23","Eiichiro Oda",,"",,,,"One Piece","23"
"09.11.2025","One Piece Band 24","Eiichiro Oda",,"",,,,"One Piece","24"
"09.11.2025","One Piece Band 25","Eiichiro Oda",,"",,,,"One Piece","25"
"09.11.2025","One Piece Band 26","Eiichiro Oda",,"",,,,"One Piece","26"
"09.11.2025","One Piece Band 27","Eiichiro Oda",,"",,,,"One Piece","27"
"09.11.2025","One Piece Band 28","Eiichiro Oda",,"",,,,"One Piece","28"
"09.11.2025","One Piece Band 29","Eiichiro Oda",,"",,,,"One Piece","29"
"09.11.2025","One Piece Band 30","Eiichiro Oda",,"",,,,"One Piece","30"
"09.11.2025","One Piece Band 31","Eiichiro Oda",,"",,,,"One Piece","31"
"09.11.2025","One Piece Band 32","Eiichiro Oda",,"",,,,"One Piece","32"
"09.11.2025","One Piece Band 33","Eiichiro Oda",,"",,,,"One Piece","33"
"09.11.2025","One Piece Band 34","Eiichiro Oda",,"",,,,"One Piece","34"
"09.11.2025","One Piece Band 35","Eiichiro Oda",,"",,,,"One Piece","35"
"09.11.2025","One Piece Band 36","Eiichiro Oda",,"",,,,"One Piece","36"
"09.11.2025","One Piece Band 37","Eiichiro Oda",,"",,,,"One Piece","37"
"09.11.2025","One Piece Band 38","Eiichiro Oda",,"",,,,"One Piece","38"
"09.11.2025","One Piece Band 39","Eiichiro Oda",,"",,,,"One Piece","39"
"09.11.2025","One Piece Band 40","Eiichiro Oda",,"",,,,"One Piece","40"
"09.11.2025","One Piece Band 41","Eiichiro Oda",,"",,,,"One Piece","41"
"09.11.2025","One Piece Band 42","Eiichiro Oda",,"",,,,"One Piece","42"
"09.11.2025","One Piece Band 43","Eiichiro Oda",,"",,,,"One Piece","43"
"09.11.2025","One Piece Band 44","Eiichiro Oda",,"",,,,"One Piece","44"
"09.11.2025","One Piece Band 45","Eiichiro Oda",,"",,,,"One Piece","45"
"09.11.2025","One Piece Band 46","Eiichiro Oda",,"",,,,"One Piece","46"
"09.11.2025","One Piece Band 47","Eiichiro Oda",,"",,,,"One Piece","47"
"09.11.2025","One Piece Band 48","Eiichiro Oda",,"",,,,"One Piece","48"
"09.11.2025","One Piece Band 49","Eiichiro Oda",,"",,,,"One Piece","49"
"09.11.2025","One Piece Band 50","Eiichiro Oda",,"",,,,"One Piece","50"
"09.11.2025","One Piece Band 51","Eiichiro Oda",,"",,,,"One Piece","51"
"09.11.2025","One Piece Band 52","Eiichiro Oda",,"",,,,"One Piece","52"
"09.11.2025","One Piece Band 53","Eiichiro Oda",,"",,,,"One Piece","53"
"09.11.2025","One Piece Band 54","Eiichiro Oda",,"",,,,"One Piece","54"
"09.11.2025","One Piece Band 55","Eiichiro Oda",,"",,,,"One Piece","55"
"09.11.2025","One Piece Band 56","Eiichiro Oda",,"",,,,"One Piece","56"
"09.11.2025","One Piece Band 57","Eiichiro Oda",,"",,,,"One Piece","57"
"09.11.2025","One Piece Band 58","Eiichiro Oda",,"",,,,"One Piece","58"
"09.11.2025","One Piece Band 59","Eiichiro Oda",,"",,,,"One Piece","59"
"09.11.2025","One Piece Band 60","Eiichiro Oda",,"",,,,"One Piece","60"
"09.11.2025","One Piece Band 61","Eiichiro Oda",,"",,,,"One Piece","61"
"09.11.2025","One Piece Band 62","Eiichiro Oda",,"",,,,"One Piece","62"
"09.11.2025","One Piece Band 63","Eiichiro Oda",,"",,,,"One Piece","63"
"09.11.2025","One Piece Band 64","Eiichiro Oda",,"",,,,"One Piece","64"
"09.11.2025","One Piece Band 65","Eiichiro Oda",,"",,,,"One Piece","65"
"09.11.2025","One Piece Band 66","Eiichiro Oda",,"",,,,"One Piece","66"
"09.11.2025","One Piece Band 67","Eiichiro Oda",,"",,,,"One Piece","67"
"09.11.2025","One Piece Band 68","Eiichiro Oda",,"",,,,"One Piece","68"
"09.11.2025","One Piece Band 69","Eiichiro Oda",,"",,,,"One Piece","69"
"09.11.2025","One Piece Band 70","Eiichiro Oda",,"",,,,"One Piece","70"
"09.11.2025","One Piece Band 71","Eiichiro Oda",,"",,,,"One Piece","71"
"09.11.2025","One Piece Band 72","Eiichiro Oda",,"",,,,"One Piece","72"
"09.11.2025","One Piece Band 73","Eiichiro Oda",,"",,,,"One Piece","73"
"09.11.2025","One Piece Band 74","Eiichiro Oda",,"",,,,"One Piece","74"
"09.11.2025","One Piece Band 75","Eiichiro Oda",,"",,,,"One Piece","75"
"09.11.2025","One Piece Band 76","Eiichiro Oda",,"",,,,"One Piece","76"
"09.11.2025","One Piece Band 77","Eiichiro Oda",,"",,,,"One Piece","77"
"09.11.2025","One Piece Band 78","Eiichiro Oda",,"",,,,"One Piece","78"
"09.11.2025","One Piece Band 79","Eiichiro Oda",,"",,,,"One Piece","79"
"09.11.2025","One Piece: Blue","Eiichiro Oda","Carlsen Comics","",,,"3-551-77436-6",,
"09.11.2025","One Piece: Red","Eiichiro Oda","Carlsen Comics","",,,"978-3-551-76830-8",,
"09.11.2025","One Piece: Yellow","Eiichiro Oda","Carlsen Manga","",,,"978-3-551-77658-7",,
"09.11.2025","Wanted","Eiichiro Oda","Carlsen Manga","",,,"978-3-551-76146-0",,
"09.11.2025","Shaman King Band 1","Hiroyuki Takei","Carlsen Manga","",,,"978-3-551-76231-3","Shaman King","1"
"09.11.2025","Shaman King Band 2","Hiroyuki Takei","Carlsen Manga","",,,"978-3-551-76232-0","Shaman King","2"
"09.11.2025","Shaman King Band 3","Hiroyuki Takei","Carlsen Comics","",,,"978-3-551-76233-7","Shaman King","3"
"09.11.2025","Shaman King Band 4","Hiroyuki Takei","Carlsen Comics","",,,"3-551-76234-1","Shaman King","4"
"09.11.2025","Shaman King Band 5","Hiroyuki Takei","Carlsen Manga","",,,"978-3-551-76235-1","Shaman King","5"
"09.11.2025","Shaman King Band 6","Hiroyuki Takei","Carlsen Manga","",,,"978-3-551-76236-8","Shaman King","6"
"09.11.2025","Shaman King Band 7","Hiroyuki Takei","Carlsen Comics","",,,"978-3-551-76237-5","Shaman King","7"
"09.11.2025","Attack on Titan Band 1","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74233-9","Attack on Titan","1"
"09.11.2025","Attack on Titan Band 2","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74234-6","Attack on Titan","2"
"09.11.2025","Attack on Titan Band 3","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74235-3","Attack on Titan","3"
"09.11.2025","Attack on Titan Band 4","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74236-0","Attack on Titan","4"
"09.11.2025","Attack on Titan Band 5","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74237-7","Attack on Titan","5"
"09.11.2025","Attack on Titan Band 6","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74238-4","Attack on Titan","6"
"09.11.2025","Attack on Titan Band 7","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74239-1","Attack on Titan","7"
"09.11.2025","Attack on Titan Band 8","Hajime Isayama","Carlsen Manga","",,,"978-3-551-74240-7","Attack on Titan","8"
"09.11.2025","Attack on Titan Band 9","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79929-6","Attack on Titan","9"
"09.11.2025","Attack on Titan Band 10","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79930-2","Attack on Titan","10"
"09.11.2025","Attack on Titan Band 11","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79931-9","Attack on Titan","11"
"09.11.2025","Attack on Titan Band 12","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79932-6","Attack on Titan","12"
