Created at,Title,Author(s),Publisher,Genre,Year Published,First Published,ISBN,Series,Volume
"09.11.2025","Death’s End","Cixin Liu; Ken Liu","Head of Zeus","",,,"978-1-784-97165-6","Remembrance of Earth&#039;s Past","3"
"09.11.2025","Foundation","Isaac Asimov","Del Rey","","2021","1951","978-0-553-29335-7","Foundation","1"
"09.11.2025","Foundation and Empire","Isaac Asimov","Del Rey","","2021","1952","978-0-553-29337-1","Foundation","2"
"09.11.2025","Second Foundation","Isaac Asimov","Del Rey","","2021","1953","978-0-553-29336-4","Foundation","3"
"09.11.2025","Otherland: City of Golden Shadow","Tad Williams","DAW Books","","1998","1996","0-88677-763-1","Otherland","1"
"09.11.2025","Otherland: River of Blue Fire","Tad Williams","DAW Books","","1999","1998","0-88677-844-1","Otherland","2"
"09.11.2025","Otherland: Mountain of Black Glass","Tad Williams","DAW Books","","2000","1999","0-88677-906-5","Otherland","3"
"09.11.2025","Otherland: Sea of Silver Light","Tad Williams","DAW Books","","2002","2001","0-7564-0030-9","Otherland","4"
"09.11.2025","Blood Music","Greg Bear","Legend Books","","1988","1985","0-09-952340-x",,
"09.11.2025","The Road to Mars","Eric Idle","Boxtree","","1999","1999","0-7522-2419-0",,
"09.11.2025","Flashforward","Robert J. Sawyer","TOR","","2000","1999","978-0-8125-8034-1",,
"09.11.2025","Halo: Kryptum","Greg Bear","Panini Books","","2011","2011","978-3-8332-2126-2","Blutsväter-Saga","1"
"09.11.2025","Halo: Primordium","Greg Bear","Panini Books","","2012","2012","978-3-8332-2524-6","Blutsväter-Saga","2"
"09.11.2025","Halo: The Fall of Reach","Eric Nylund","TOR","","2011","2001","978-0-7653-6729-7","Halo","1"
"09.11.2025","Halo: The Flood","William C. Dietz","TOR","","2012","2003","978-0-7653-6730-3","Halo","2"
"09.11.2025","Halo: First Strike","Eric Nylund","TOR","","2012","2003","978-0-7653-6731-0","Halo","3"
"09.11.2025","Halo: Ghosts of Onyx","Eric Nylund","TOR","","2007","2006","978-0-765-35470-9","Halo","4"
"09.11.2025","Halo: Glasslands","Karen Traviss","TOR","","2012","2011","978-0-7653-6945-1","Kilo-Five","1"
"09.11.2025","Halo: The Thursday War","Karen Traviss","TOR","","2013","2012","978-0-7653-7039-6","Kilo-Five","2"
"09.11.2025","Halo: Mortal Dictata","Karen Traviss","TOR","","2015","2014","978-0-7653-7579-7","Kilo-Five","3"
"09.11.2025","Halo: Contact Harvest","Joseph Staten","TOR","","2007","2007","978-0-7653-1569-4",,
"09.11.2025","Halo: Evolutions Vol. 1","Eric Nylund; Tobias S. Buckell; B.K. Evenson; Jonathan Goff; Frank O’Connor; Eric Raab","TOR","","2010","2009","978-0-7653-5475-4","Halo: Evolutions","1"
"09.11.2025","Halo: Evolutions Vol. 2","Karen Traviss; Tessa Kum &amp; Jeff Vandermeer; Kevin Grace; Robt McLees; Fred van Lente","TOR","","2010","2009","978-0-7653-6695-5","Halo: Evolutions","2"
"09.11.2025","Star Wars Republic Commando: Feindkontakt","Karen Traviss","Panini Books","","2008",,"978-3-8332-1199-7","Star Wars Republic Commando","1"
"09.11.2025","Star Wars Republic Commando: Triple Zero","Karen Traviss","Panini Books","","2008",,"978-3-8332-1366-3","Star Wars Republic Commando","2"
"09.11.2025","Star Wars Republic Commando: True Colors","Karen Traviss","Panini Books","","2008",,"978-3-8332-1653-4","Star Wars Republic Commando","3"
"09.11.2025","Star Wars Republic Commando: Order 66","Karen Traviss","Panini Books","","2008",,"978-3-8332-1735-7","Star Wars Republic Commando","4"
"09.11.2025","Star Wars Imperial Commando: Die 501.","Karen Traviss","Panini Books","","2009",,"978-3-8332-1935-1","Star Wars Republic Commando","5"
"09.11.2025","Star Wars X-Wing: Angriff auf Coruscant","Michael Stackpole","Goldmann","","1996",,"3-442-43158-1","X-Wing","1"
"09.11.2025","Star Wars X-Wing: Die Mission der Rebellen","Michael Stackpole","Goldmann","","1997",,"3-442-24766-7","X-Wing","2"
"09.11.2025","Star Wars X-Wing: Die Teuflische Falle","Michael Stackpole","Goldmann","","1997",,"3-442-24801-9","X-Wing","3"
"09.11.2025","Star Wars X-Wing: Bacta-Piraten","Michael Stackpole","Goldmann","","1998",,"3-442-24819-1","X-Wing","4"
"09.11.2025","Star Wars X-Wing: Die Gespensterstaffel","Aaron Allston","Blanvalet","","1999",,"3-442-35128-6","X-Wing","5"
"09.11.2025","Star Wars X-Wing: Operation Eiserne Faust","Aaron Allston","Blanvalet","","1999",,"3-442-35142-1","X-Wing","6"
"09.11.2025","Star Wars X-Wing: Kommando Han Solo","Aaron Allston","Blanvalet","","2000",,"3-442-35197-9","X-Wing","7"
"09.11.2025","Star Wars X-Wing: Isards Rache","Michael Stackpole","Blanvalet","","2000",,"3-442-35198-7","X-Wing","8"
"09.11.2025","Star Wars X-Wing: Das Letzte Gefecht","Aaron Allston","Blanvalet","","2004",,"3-442-24231-2","X-Wing","9"
"09.11.2025","Star Wars Boba Fett Sammelband 1","Terry Bisson; Elizabeth Hand","Panini Books","","2010",,"978-3-8332-1876-7","Boba Fett","1"
"09.11.2025","Star Wars Boba Fett Sammelband 2","Elizabeth Hand","Panini Books","","2009",,"978-3-8332-1937-5","Boba Fett","4"
"09.11.2025","Serpent","Clive Cussler","Pocket Books","","2000","1999","0-671-02216-4","Numa Files","1"
"09.11.2025","Blue Gold","Clive Cussler","Simon &amp; Schuster","","2000","2000","0-684-86616-1","Numa Files","2"
"09.11.2025","Fire Ice","Clive Cussler","Penguin Books","","2003","2002","0-140-29736-7","Numa Files","3"
"09.11.2025","White Death","Clive Cussler","Penguin Books","","2004","2003","0-140-29737-5","Numa Files","4"
"09.11.2025","Lost City","Clive Cussler","Berkley","","2005","2004","0-425-20419-7","Numa Files","5"
"09.11.2025","Polar Shift","Clive Cussler","Berkley","","2007","2005","978-0-425-21133-5","Numa Files","6"
"09.11.2025","The Navigator","Clive Cussler","Berkley","","2008","2007","978-0-425-22236-2","Numa Files","7"
"09.11.2025","Medusa","Clive Cussler","Berkley","","2010","2009","978-0-425-23582-9","Numa Files","8"
"09.11.2025","Devil’s Gate","Clive Cussler","Michael Joseph","","2011","2011","978-0-718-15646-6","Numa Files","9"
"09.11.2025","The Storm","Clive Cussler","Berkley","","2013","2012","978-0-425-26763-9","Numa Files","10"
"09.11.2025","Zero Hour ","Clive Cussler","Michael Joseph","","2013","2013","978-0-718-17718-8","Numa Files","11"
"09.11.2025","Ghost Ship","Clive Cussler","Penguin Books","","2015","2014","978-1-405-91452-9","Numa Files","12"
